Site Code,Site,Month,Day,Year,MPN
MD05,JB,9,12,2016,0.21
MD05,JB,9,26,2016,0.43
MD05,JB,10,10,2016,12
MD05,JB,10,24,2016,0.36
MD05,JB,11,14,2016,11
MD05,JB,12,5,2016,12
MD05,JB,1,23,2017,12
MD05,JB,2,13,2017,12
MD05,JB,3,13,2017,0.28
MD05,JB,4,17,2017,0.42
MD05,JB,5,8,2017,12
MD11,WR,9,12,2016,0.02
MD11,WR,9,26,2016,0.02
MD11,WR,10,10,2016,0.02
MD11,WR,10,24,2016,0.02
MD11,WR,11,14,2016,0.02
MD11,WR,12,5,2016,0.03
MD11,WR,1,23,2017,NA
MD11,WR,2,13,2017,0.02
MD11,WR,3,13,2017,0.02
MD11,WR,4,17,2017,0.02
MD11,WR,5,8,2017,0.02
MD04,LW,9,12,2016,NA
MD04,LW,9,26,2016,0.02
MD04,LW,10,10,2016,0.092
MD04,LW,10,24,2016,0.02
MD04,LW,11,14,2016,0.02
MD04,LW,12,5,2016,0.02
MD04,LW,1,23,2017,0.15
MD04,LW,2,13,2017,0.95
MD04,LW,3,13,2017,0.02
MD04,LW,4,17,2017,0.072
MD04,LW,5,8,2017,0.15
MD10,UM,9,12,2016,0.02
MD10,UM,9,26,2016,0.02
MD10,UM,10,10,2016,0.02
MD10,UM,10,24,2016,0.02
MD10,UM,11,14,2016,0.02
MD10,UM,12,5,2016,0.02
MD10,UM,1,23,2017,0.02
MD10,UM,2,13,2017,0.02
MD10,UM,3,13,2017,0.02
MD10,UM,4,17,2017,0.02
MD10,UM,5,8,2017,0.02
MD06,MN,9,12,2016,NA
MD06,MN,9,26,2016,NA
MD06,MN,10,10,2016,NA
MD06,MN,10,24,2016,0.02
MD06,MN,11,14,2016,0.02
MD06,MN,12,5,2016,NA
MD06,MN,1,23,2017,NA
MD06,MN,2,13,2017,NA
MD06,MN,3,13,2017,NA
MD06,MN,4,17,2017,0.02
MD06,MN,5,8,2017,0.02
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
